tensor_type,bin_left,bin_right,density,count,in_range_count,total_sampled_count,plot_range_low,plot_range_high
ordinary,0.928147620940204,0.9449461195975497,0.0061636707109167755,31,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.9449461195975497,0.9617446182548954,0.00676015497326356,34,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.9617446182548954,0.9785431169122412,0.005964842623467847,30,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.9785431169122412,0.9953416155695869,0.005567186448569991,28,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.9953416155695869,1.0121401142269326,0.004374217923876421,22,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,1.0121401142269326,1.0289386128842783,0.0047718740987742776,24,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,1.0289386128842783,1.045737111541624,0.003181249399182852,16,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,1.045737111541624,1.0625356101989698,0.0037777336615296368,19,299400,300000,-0.953284228682518,1.0625356101989698
post-GELU,-0.1699704975038767,-0.15107701173611,9.220554585585061,52158,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,-0.15107701173611,-0.13218352596834326,4.236208242922936,23963,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,-0.13218352596834326,-0.11329004020057656,3.551711380401654,20091,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,-0.11329004020057656,-0.09439655443280985,3.39472966193086,19203,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,-0.09439655443280985,-0.07550306866504314,3.359019856603045,19001,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,-0.07550306866504314,-0.05660958289727644,3.5315583219493227,19977,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,-0.05660958289727644,-0.03771609712950971,4.040157876048942,22854,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,-0.03771609712950971,-0.018822611361743014,5.083343822778835,28755,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,-0.018822611361743014,7.087440602368544e-05,12.038093582192575,68096,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,7.087440602368544e-05,0.018964360173790412,0.28550166140802663,1615,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.018964360173790412,0.03785784594155711,0.2581005731614362,1460,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.03785784594155711,0.05675133170932381,0.24325095114392892,1376,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.05675133170932381,0.07564481747709054,0.21655698775531432,1225,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.07564481747709054,0.09453830324485726,0.20966252039004307,1186,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.09453830324485726,0.11343178901262393,0.18243821335794697,1032,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.11343178901262393,0.13232527478039066,0.1702403095578512,963,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.13232527478039066,0.1512187605481574,0.14743553288810787,834,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.1512187605481574,0.17011224631592406,0.14884978260406137,842,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.17011224631592406,0.1890057320836908,0.12922706779521204,731,299400,300000,-0.1699704975038767,2.0972477946281285
